meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
56,3D Classics: Xevious,3DS,21-Jul-11,5.8,/game/3ds/3d-classics-xevious,E,['Arika'],"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']"
,Nintendo Video,3DS,21-Jul-11,5.9,/game/3ds/nintendo-video,,['Nintendo'],"['Miscellaneous', 'General', 'General']"
65,Mystery Case Files: The Malgrave Incident,WII,29-Jun-11,8,/game/wii/mystery-case-files-the-malgrave-incident,E,['Sanzaru Games'],"['Miscellaneous', 'Puzzle', 'Hidden Object', 'Puzzle', 'General']"
94,The Legend of Zelda: Ocarina of Time 3D,3DS,19-Jun-11,9,/game/3ds/the-legend-of-zelda-ocarina-of-time-3d,E10+,['GREZZO'],"['Miscellaneous', 'Fantasy', 'Fantasy', 'Compilation', 'Action Adventure', 'Open-World']"
60,Wii Play: Motion,WII,13-Jun-11,6.3,/game/wii/wii-play-motion,E10+,"['Nintendo', ' Good-Feel']","['Miscellaneous', 'Party', 'Party', 'Party / Minigame']"
69,Pokedex 3D,3DS,6-Jun-11,6.6,/game/3ds/pokedex-3d,E,['Creatures Inc.'],"['Miscellaneous', 'General', 'General', 'Application']"
,3D Classics: Excitebike,3DS,6-Jun-11,6.6,/game/3ds/3d-classics-excitebike,E,['Arika'],"['Driving', 'Racing', 'Arcade', 'Motorcycle', 'Other', 'Automobile', 'Motocross', 'Motocross']"
71,Nintendogs + Cats: Golden Retriever & New Friends,3DS,27-Mar-11,7.3,/game/3ds/nintendogs-+-cats-golden-retriever-new-friends,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
71,Pilotwings Resort,3DS,27-Mar-11,7.1,/game/3ds/pilotwings-resort,E,['Monster Games Inc.'],"['Simulation', 'Flight', 'Civilian Plane', 'Civilian Plane', 'Civilian']"
58,Steel Diver,3DS,27-Mar-11,6.3,/game/3ds/steel-diver,E10+,"['Nintendo', ' Vitei']","['Action', 'Simulation', 'General', 'Submarine', 'Submarine', 'Marine', 'Combat']"
71,Nintendogs + Cats: Toy Poodle & New Friends,3DS,27-Mar-11,7.4,/game/3ds/nintendogs-+-cats-toy-poodle-new-friends,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
71,Nintendogs + Cats: French Bulldog & New Friends,3DS,27-Mar-11,7.1,/game/3ds/nintendogs-+-cats-french-bulldog-new-friends,E,['Nintendo'],"['Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual Life', 'Virtual', 'Pet']"
,AR Games,3DS,27-Mar-11,7.1,/game/3ds/ar-games,E,['Nintendo'],"['Miscellaneous', 'General', 'General']"
,Face Raiders,3DS,27-Mar-11,7,/game/3ds/face-raiders,E,['HAL Labs'],"['Action', 'General', 'General', 'Shooter', 'Light Gun']"
,StreetPass Mii Plaza,3DS,27-Mar-11,7.6,/game/3ds/streetpass-mii-plaza,E,['Nintendo'],"['Role-Playing', 'General', 'General']"
,Nintendo 3DS,3DS,27-Mar-11,8,/game/3ds/nintendo-3ds,E,['Nintendo'],"['Hardware', 'Console']"
,Mii Maker,3DS,27-Mar-11,6.1,/game/3ds/mii-maker,,['Nintendo'],"['Miscellaneous', 'General', 'Application']"
,Nintendo 3DS Internet Browser,3DS,27-Mar-11,,/game/3ds/nintendo-3ds-internet-browser,,['Nintendo'],"['Miscellaneous', 'Application']"
87,Pokemon Black Version,DS,6-Mar-11,7.7,/game/ds/pokemon-black-version,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
87,Pokemon White Version,DS,6-Mar-11,7.7,/game/ds/pokemon-white-version,E,['Game Freak'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Trainer']"
78,Dragon Quest VI: Realms of Revelation,DS,14-Feb-11,8.4,/game/ds/dragon-quest-vi-realms-of-revelation,T,['ArtePiazza'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
64,Mario Sports Mix,WII,7-Feb-11,7.8,/game/wii/mario-sports-mix,E,['Square Enix'],"['Sports', 'General', 'General']"
69,Disaster: Day of Crisis,WII,TBA,8.8,/game/wii/disaster-day-of-crisis,,['Monolith Soft'],"['Action', 'General']"
66,Another Code R: A Journey into Lost Memories,WII,TBA,7.8,/game/wii/another-code-r-a-journey-into-lost-memories,,['Cing'],"['Adventure', 'General']"
,Fluidity,WII,TBA 2010,,/game/wii/fluidity,E,['Curve Studios'],"['Action', 'Platformer', 'Platformer', '2D', '3D', '2D']"
,Mario Party 2,WII,20-Dec-10,8.6,/game/wii/mario-party-2,,['Hudson'],"['Miscellaneous', 'Party']"
70,Super Mario All-Stars: 25th Anniversary Edition,WII,12-Dec-10,7.7,/game/wii/super-mario-all-stars-25th-anniversary-edition,E,['Nintendo'],"['Miscellaneous', 'Compilation', 'Compilation']"
86,Fluidity,WII,6-Dec-10,7.8,/game/wii/fluidity,E,['Curve Studios'],"['Action', 'Platformer', 'Platformer', '2D', '3D', '2D']"
79,Golden Sun: Dark Dawn,DS,29-Nov-10,8.2,/game/ds/golden-sun-dark-dawn,E10+,['Camelot Software Planning'],"['Role-Playing', 'Console-style RPG', 'Console-style RPG', 'Japanese-Style']"
,Snowpack Park,WII,22-Nov-10,,/game/wii/snowpack-park,E,['Skip Ltd.'],"['Simulation', 'General', 'General']"
87,Donkey Kong Country Returns,WII,21-Nov-10,8.6,/game/wii/donkey-kong-country-returns,E,['Retro Studios'],"['Action', 'Adventure', 'General', 'Platformer', 'Platformer', '2D', '2D']"
79,Mario vs. Donkey Kong: Mini-Land Mayhem,DS,14-Nov-10,8,/game/ds/mario-vs-donkey-kong-mini-land-mayhem,E,"['Nintendo', ' Nintendo Software Technology']","['Action', 'Platformer', 'Platformer', '2D', '2D']"
48,FlingSmash,WII,7-Nov-10,7.6,/game/wii/flingsmash,E,['Artoon'],"['Action', 'General', 'General']"
62,PokePark Wii: Pikachu's Adventure,WII,2-Nov-10,7.6,/game/wii/pokepark-wii-pikachus-adventure,E,['Creatures Inc.'],"['Action Adventure', 'Adventure', 'General', 'Fantasy', 'General', 'Fantasy']"
75,Art Academy,DS,26-Oct-10,7.7,/game/ds/art-academy,E,['Headstrong Games'],"['Miscellaneous', 'Edutainment', 'Edutainment']"
